logTime,군서배수지_유량,hour,weekday,is_holiday,is_weekend
2018-01-06 17:00:00,50,17,5,False,True
2018-01-06 18:00:00,50,18,5,False,True
2018-01-06 19:00:00,45,19,5,False,True
2018-01-06 20:00:00,43,20,5,False,True
2018-01-06 21:00:00,42,21,5,False,True
2018-01-06 22:00:00,38,22,5,False,True
2018-01-06 23:00:00,36,23,5,False,True
2018-01-07 00:00:00,33,0,6,False,True
2018-01-07 01:00:00,32,1,6,False,True
2018-01-07 02:00:00,31,2,6,False,True
2018-01-07 03:00:00,31,3,6,False,True
2018-01-07 04:00:00,31,4,6,False,True
2018-01-07 05:00:00,34,5,6,False,True
2018-01-07 06:00:00,37,6,6,False,True
2018-01-07 07:00:00,46,7,6,False,True
2018-01-07 08:00:00,53,8,6,False,True
2018-01-07 09:00:00,53,9,6,False,True
2018-01-07 10:00:00,48,10,6,False,True
2018-01-07 11:00:00,49,11,6,False,True
2018-01-07 12:00:00,50,12,6,False,True
2018-01-07 13:00:00,45,13,6,False,True
2018-01-07 14:00:00,47,14,6,False,True
2018-01-07 15:00:00,45,15,6,False,True
2018-01-07 16:00:00,47,16,6,False,True
2018-01-07 17:00:00,49,17,6,False,True
2018-01-07 18:00:00,51,18,6,False,True
2018-01-07 19:00:00,47,19,6,False,True
2018-01-07 20:00:00,46,20,6,False,True
2018-01-07 21:00:00,42,21,6,False,True
2018-01-07 22:00:00,39,22,6,False,True
2018-01-07 23:00:00,37,23,6,False,True
2018-01-08 00:00:00,35,0,0,False,False
2018-01-08 01:00:00,34,1,0,False,False
2018-01-08 02:00:00,32,2,0,False,False
2018-01-08 03:00:00,33,3,0,False,False
2018-01-08 04:00:00,33,4,0,False,False
2018-01-08 05:00:00,35,5,0,False,False
2018-01-08 06:00:00,42,6,0,False,False
2018-01-08 07:00:00,59,7,0,False,False
2018-01-08 08:00:00,63,8,0,False,False
2018-01-08 09:00:00,63,9,0,False,False
2018-01-08 10:00:00,59,10,0,False,False
2018-01-08 11:00:00,59,11,0,False,False
2018-01-08 12:00:00,57,12,0,False,False
2018-01-08 13:00:00,54,13,0,False,False
2018-01-08 14:00:00,51,14,0,False,False
2018-01-08 15:00:00,49,15,0,False,False
2018-01-08 16:00:00,53,16,0,False,False
2018-01-08 17:00:00,58,17,0,False,False
2018-01-08 18:00:00,55,18,0,False,False
2018-01-08 19:00:00,51,19,0,False,False
2018-01-08 20:00:00,46,20,0,False,False
2018-01-08 21:00:00,42,21,0,False,False
2018-01-08 22:00:00,44,22,0,False,False
2018-01-08 23:00:00,37,23,0,False,False
2018-01-09 00:00:00,34,0,1,False,False
2018-01-09 01:00:00,32,1,1,False,False
2018-01-09 02:00:00,33,2,1,False,False
2018-01-09 03:00:00,33,3,1,False,False
2018-01-09 04:00:00,33,4,1,False,False
2018-01-09 05:00:00,35,5,1,False,False
2018-01-09 06:00:00,42,6,1,False,False
2018-01-09 07:00:00,55,7,1,False,False
2018-01-09 08:00:00,60,8,1,False,False
2018-01-09 09:00:00,59,9,1,False,False
2018-01-09 10:00:00,56,10,1,False,False
2018-01-09 11:00:00,60,11,1,False,False
2018-01-09 12:00:00,56,12,1,False,False
2018-01-09 13:00:00,49,13,1,False,False
2018-01-09 14:00:00,52,14,1,False,False
2018-01-09 15:00:00,48,15,1,False,False
2018-01-09 16:00:00,53,16,1,False,False
2018-01-09 17:00:00,56,17,1,False,False
2018-01-09 18:00:00,52,18,1,False,False
2018-01-09 19:00:00,47,19,1,False,False
2018-01-09 20:00:00,43,20,1,False,False
2018-01-09 21:00:00,42,21,1,False,False
2018-01-09 22:00:00,38,22,1,False,False
2018-01-09 23:00:00,36,23,1,False,False
2018-01-10 00:00:00,34,0,2,False,False
2018-01-10 01:00:00,32,1,2,False,False
2018-01-10 02:00:00,32,2,2,False,False
2018-01-10 03:00:00,32,3,2,False,False
2018-01-10 04:00:00,33,4,2,False,False
2018-01-10 05:00:00,36,5,2,False,False
2018-01-10 06:00:00,43,6,2,False,False
2018-01-10 07:00:00,56,7,2,False,False
2018-01-10 08:00:00,61,8,2,False,False
2018-01-10 09:00:00,63,9,2,False,False
2018-01-10 10:00:00,65,10,2,False,False
2018-01-10 11:00:00,64,11,2,False,False
2018-01-10 12:00:00,58,12,2,False,False
2018-01-10 13:00:00,48,13,2,False,False
2018-01-10 14:00:00,56,14,2,False,False
2018-01-10 15:00:00,51,15,2,False,False
2018-01-10 16:00:00,57,16,2,False,False
2018-01-10 17:00:00,60,17,2,False,False
2018-01-10 18:00:00,53,18,2,False,False
2018-01-10 19:00:00,47,19,2,False,False
2018-01-10 20:00:00,50,20,2,False,False
2018-01-10 21:00:00,48,21,2,False,False
2018-01-10 22:00:00,39,22,2,False,False
2018-01-10 23:00:00,38,23,2,False,False
2018-01-11 00:00:00,34,0,3,False,False
2018-01-11 01:00:00,33,1,3,False,False
2018-01-11 02:00:00,33,2,3,False,False
2018-01-11 03:00:00,33,3,3,False,False
2018-01-11 04:00:00,34,4,3,False,False
2018-01-11 05:00:00,36,5,3,False,False
2018-01-11 06:00:00,43,6,3,False,False
2018-01-11 07:00:00,58,7,3,False,False
2018-01-11 08:00:00,61,8,3,False,False
2018-01-11 09:00:00,63,9,3,False,False
2018-01-11 10:00:00,59,10,3,False,False
2018-01-11 11:00:00,62,11,3,False,False
2018-01-11 12:00:00,58,12,3,False,False
2018-01-11 13:00:00,51,13,3,False,False
2018-01-11 14:00:00,48,14,3,False,False
2018-01-11 15:00:00,52,15,3,False,False
2018-01-11 16:00:00,56,16,3,False,False
2018-01-11 17:00:00,54,17,3,False,False
2018-01-11 18:00:00,54,18,3,False,False
2018-01-11 19:00:00,46,19,3,False,False
