logTime,경기동남권_광역 성남 공도(배) 유출 유량 적산차,경기동남권_광역 성남 원곡(배) 유출 유량 적산차,hour,weekday,is_weekend,is_holiday
2020-01-06 11:00:00,236.0,523.0,11,0,False,False
2020-01-06 12:00:00,138.0,363.0,12,0,False,False
2020-01-06 13:00:00,206.0,320.0,13,0,False,False
2020-01-06 14:00:00,304.0,338.0,14,0,False,False
2020-01-06 15:00:00,248.0,318.0,15,0,False,False
2020-01-06 16:00:00,332.0,355.0,16,0,False,False
2020-01-06 17:00:00,268.0,328.0,17,0,False,False
2020-01-06 18:00:00,178.0,571.0,18,0,False,False
2020-01-06 19:00:00,66.0,544.0,19,0,False,False
2020-01-06 20:00:00,168.0,586.0,20,0,False,False
2020-01-06 21:00:00,314.0,546.0,21,0,False,False
2020-01-06 22:00:00,320.0,409.0,22,0,False,False
2020-01-06 23:00:00,362.0,283.0,23,0,False,False
2020-01-07 00:00:00,178.0,271.0,0,1,False,False
2020-01-07 01:00:00,122.0,220.0,1,1,False,False
2020-01-07 02:00:00,120.0,238.0,2,1,False,False
2020-01-07 03:00:00,180.0,140.0,3,1,False,False
2020-01-07 04:00:00,128.0,130.0,4,1,False,False
2020-01-07 05:00:00,0.0,132.0,5,1,False,False
2020-01-07 06:00:00,4.0,161.0,6,1,False,False
2020-01-07 07:00:00,24.0,216.0,7,1,False,False
2020-01-07 08:00:00,170.0,376.0,8,1,False,False
2020-01-07 09:00:00,118.0,491.0,9,1,False,False
2020-01-07 10:00:00,64.0,458.0,10,1,False,False
2020-01-07 11:00:00,104.0,692.0,11,1,False,False
2020-01-07 12:00:00,234.0,352.0,12,1,False,False
2020-01-07 13:00:00,304.0,400.0,13,1,False,False
2020-01-07 14:00:00,388.0,350.0,14,1,False,False
2020-01-07 15:00:00,282.0,307.0,15,1,False,False
2020-01-07 16:00:00,114.0,278.0,16,1,False,False
2020-01-07 17:00:00,178.0,290.0,17,1,False,False
2020-01-07 18:00:00,320.0,344.0,18,1,False,False
2020-01-07 19:00:00,252.0,433.0,19,1,False,False
2020-01-07 20:00:00,94.0,425.0,20,1,False,False
2020-01-07 21:00:00,86.0,379.0,21,1,False,False
2020-01-07 22:00:00,256.0,583.0,22,1,False,False
2020-01-07 23:00:00,372.0,571.0,23,1,False,False
2020-01-08 00:00:00,316.0,344.0,0,2,False,False
2020-01-08 01:00:00,158.0,284.0,1,2,False,False
2020-01-08 02:00:00,96.0,233.0,2,2,False,False
2020-01-08 03:00:00,8.0,161.0,3,2,False,False
2020-01-08 04:00:00,0.0,190.0,4,2,False,False
2020-01-08 05:00:00,0.0,151.0,5,2,False,False
2020-01-08 06:00:00,42.0,164.0,6,2,False,False
2020-01-08 07:00:00,24.0,213.0,7,2,False,False
2020-01-08 08:00:00,212.0,401.0,8,2,False,False
2020-01-08 09:00:00,324.0,360.0,9,2,False,False
2020-01-08 10:00:00,340.0,372.0,10,2,False,False
2020-01-08 11:00:00,278.0,393.0,11,2,False,False
2020-01-08 12:00:00,278.0,317.0,12,2,False,False
2020-01-08 13:00:00,222.0,430.0,13,2,False,False
2020-01-08 14:00:00,388.0,656.0,14,2,False,False
2020-01-08 15:00:00,134.0,340.0,15,2,False,False
2020-01-08 16:00:00,56.0,298.0,16,2,False,False
2020-01-08 17:00:00,54.0,316.0,17,2,False,False
2020-01-08 18:00:00,98.0,389.0,18,2,False,False
2020-01-08 19:00:00,60.0,534.0,19,2,False,False
2020-01-08 20:00:00,228.0,558.0,20,2,False,False
2020-01-08 21:00:00,272.0,409.0,21,2,False,False
2020-01-08 22:00:00,412.0,396.0,22,2,False,False
2020-01-08 23:00:00,362.0,266.0,23,2,False,False
2020-01-09 00:00:00,312.0,424.0,0,3,False,False
2020-01-09 01:00:00,124.0,382.0,1,3,False,False
2020-01-09 02:00:00,96.0,240.0,2,3,False,False
2020-01-09 03:00:00,2.0,154.0,3,3,False,False
2020-01-09 04:00:00,0.0,144.0,4,3,False,False
2020-01-09 05:00:00,0.0,154.0,5,3,False,False
2020-01-09 06:00:00,2.0,236.0,6,3,False,False
2020-01-09 07:00:00,80.0,223.0,7,3,False,False
2020-01-09 08:00:00,256.0,315.0,8,3,False,False
2020-01-09 09:00:00,258.0,416.0,9,3,False,False
2020-01-09 10:00:00,222.0,507.0,10,3,False,False
2020-01-09 11:00:00,76.0,542.0,11,3,False,False
2020-01-09 12:00:00,112.0,370.0,12,3,False,False
2020-01-09 13:00:00,166.0,350.0,13,3,False,False
2020-01-09 14:00:00,426.0,365.0,14,3,False,False
2020-01-09 15:00:00,404.0,479.0,15,3,False,False
2020-01-09 16:00:00,236.0,446.0,16,3,False,False
2020-01-09 17:00:00,166.0,303.0,17,3,False,False
2020-01-09 18:00:00,122.0,341.0,18,3,False,False
2020-01-09 19:00:00,72.0,481.0,19,3,False,False
2020-01-09 20:00:00,70.0,490.0,20,3,False,False
2020-01-09 21:00:00,110.0,450.0,21,3,False,False
2020-01-09 22:00:00,256.0,378.0,22,3,False,False
2020-01-09 23:00:00,310.0,381.0,23,3,False,False
2020-01-10 00:00:00,312.0,381.0,0,4,False,False
2020-01-10 01:00:00,374.0,341.0,1,4,False,False
2020-01-10 02:00:00,332.0,380.0,2,4,False,False
2020-01-10 03:00:00,0.0,226.0,3,4,False,False
2020-01-10 04:00:00,24.0,149.0,4,4,False,False
2020-01-10 05:00:00,152.0,161.0,5,4,False,False
2020-01-10 06:00:00,164.0,203.0,6,4,False,False
2020-01-10 07:00:00,68.0,226.0,7,4,False,False
2020-01-10 08:00:00,90.0,381.0,8,4,False,False
2020-01-10 09:00:00,58.0,434.0,9,4,False,False
2020-01-10 10:00:00,180.0,493.0,10,4,False,False
2020-01-10 11:00:00,196.0,407.0,11,4,False,False
2020-01-10 12:00:00,72.0,317.0,12,4,False,False
2020-01-10 13:00:00,156.0,374.0,13,4,False,False
2020-01-10 14:00:00,168.0,357.0,14,4,False,False
